All accuracies:

File                                              Accuracy  

pred_test_data_german_12500_exp6_res79.txt        88.60     
pred_test_data_german_12500_exp6_res93.txt        88.90     
pred_test_data_german_12500_exp6_res1.txt         89.00     
pred_test_data_german_12500_exp6_res95.txt        89.70     
pred_test_data_german_12500_exp6_res60.txt        89.50     
pred_test_data_german_12500_exp6_res100.txt       87.40     
pred_test_data_german_12500_exp6_res22.txt        88.40     
pred_test_data_german_12500_exp6_res53.txt        89.10     
pred_test_data_german_12500_exp6_res46.txt        87.30     
german_exp6_weighted_voted.txt                    92.90     
pred_test_data_german_12500_exp6_res42.txt        88.60     
pred_test_data_german_12500_exp6_res21.txt        89.00     
pred_test_data_german_12500_exp6_res52.txt        88.50     
pred_test_data_german_12500_exp6_res13.txt        89.30     
pred_test_data_german_12500_exp6_res84.txt        87.50     
pred_test_data_german_12500_exp6_res74.txt        87.30     
pred_test_data_german_12500_exp6_res61.txt        88.10     
pred_test_data_german_12500_exp6_res17.txt        87.00     
pred_test_data_german_12500_exp6_res62.txt        89.40     
pred_test_data_german_12500_exp6_res68.txt        89.70     
pred_test_data_german_12500_exp6_res78.txt        88.60     
pred_test_data_german_12500_exp6_res57.txt        87.40     
pred_test_data_german_12500_exp6_res16.txt        88.20     
pred_test_data_german_12500_exp6_res54.txt        87.00     
pred_test_data_german_12500_exp6_res81.txt        89.00     
pred_test_data_german_12500_exp6_res66.txt        89.50     
pred_test_data_german_12500_exp6_res12.txt        89.40     
pred_test_data_german_12500_exp6_res72.txt        87.30     
pred_test_data_german_12500_exp6_res51.txt        90.40     
pred_test_data_german_12500_exp6_res44.txt        88.30     
pred_test_data_german_12500_exp6_res87.txt        88.80     
pred_test_data_german_12500_exp6_res77.txt        87.40     
pred_test_data_german_12500_exp6_res98.txt        89.80     
pred_test_data_german_12500_exp6_res70.txt        86.90     
pred_test_data_german_12500_exp6_res45.txt        89.10     
pred_test_data_german_12500_exp6_res18.txt        86.90     
pred_test_data_german_12500_exp6_res75.txt        88.40     
pred_test_data_german_12500_exp6_res5.txt         88.70     
pred_test_data_german_12500_exp6_res11.txt        88.20     
pred_test_data_german_12500_exp6_res33.txt        91.40     
pred_test_data_german_12500_exp6_res71.txt        89.10     
pred_test_data_german_12500_exp6_res43.txt        89.30     
pred_test_data_german_12500_exp6_res29.txt        88.40     
pred_test_data_german_12500_exp6_res31.txt        89.70     
pred_test_data_german_12500_exp6_res39.txt        88.60     
pred_test_data_german_12500_exp6_res26.txt        88.80     
pred_test_data_german_12500_exp6_res97.txt        88.10     
pred_test_data_german_12500_exp6_res10.txt        87.40     
pred_test_data_german_12500_exp6_res6.txt         87.00     
pred_test_data_german_12500_exp6_res24.txt        89.00     
pred_test_data_german_12500_exp6_res96.txt        87.40     
pred_test_data_german_12500_exp6_res89.txt        88.90     
pred_test_data_german_12500_exp6_res90.txt        88.60     
pred_test_data_german_12500_exp6_res30.txt        89.00     
pred_test_data_german_12500_exp6_res41.txt        88.00     
pred_test_data_german_12500_exp6_res76.txt        88.40     
pred_test_data_german_12500_exp6_res47.txt        87.20     
pred_test_data_german_12500_exp6_res86.txt        89.60     
pred_test_data_german_12500_exp6_res69.txt        88.70     
pred_test_data_german_12500_exp6_res64.txt        89.30     
pred_test_data_german_12500_exp6_res83.txt        87.90     
pred_test_data_german_12500_exp6_res20.txt        88.10     
pred_test_data_german_12500_exp6_res99.txt        87.70     
pred_test_data_german_12500_exp6_res8.txt         89.50     
pred_test_data_german_12500_exp6_res56.txt        88.80     
pred_test_data_german_12500_exp6_res58.txt        88.60     
pred_test_data_german_12500_exp6_res85.txt        88.00     
pred_test_data_german_12500_exp6_res25.txt        87.50     
pred_test_data_german_12500_exp6_res3.txt         89.40     
german_exp6_voted.txt                             92.80     
pred_test_data_german_12500_exp6_res35.txt        88.30     
pred_test_data_german_12500_exp6_res82.txt        89.50     
pred_test_data_german_12500_exp6_res94.txt        88.00     
pred_test_data_german_12500_exp6_res38.txt        87.90     
pred_test_data_german_12500_exp6_res91.txt        88.00     
pred_test_data_german_12500_exp6_res73.txt        88.30     
pred_test_data_german_12500_exp6_res80.txt        88.00     
pred_test_data_german_12500_exp6_res23.txt        89.30     
pred_test_data_german_12500_exp6_res59.txt        88.70     
pred_test_data_german_12500_exp6_res28.txt        89.50     
pred_test_data_german_12500_exp6_res15.txt        88.80     
pred_test_data_german_12500_exp6_res55.txt        89.30     
pred_test_data_german_12500_exp6_res19.txt        89.20     
pred_test_data_german_12500_exp6_res9.txt         88.90     
pred_test_data_german_12500_exp6_res7.txt         89.10     
pred_test_data_german_12500_exp6_res27.txt        88.50     
pred_test_data_german_12500_exp6_res36.txt        89.00     
pred_test_data_german_12500_exp6_res50.txt        88.50     
pred_test_data_german_12500_exp6_res63.txt        87.80     
pred_test_data_german_12500_exp6_res49.txt        88.80     
pred_test_data_german_12500_exp6_res37.txt        88.70     
pred_test_data_german_12500_exp6_res65.txt        87.70     
pred_test_data_german_12500_exp6_res88.txt        88.70     
pred_test_data_german_12500_exp6_res14.txt        87.90     
pred_test_data_german_12500_exp6_res48.txt        88.70     
pred_test_data_german_12500_exp6_res4.txt         88.80     
pred_test_data_german_12500_exp6_res40.txt        88.10     
pred_test_data_german_12500_exp6_res92.txt        88.00     
pred_test_data_german_12500_exp6_res32.txt        89.00     
pred_test_data_german_12500_exp6_res2.txt         88.80     
pred_test_data_german_12500_exp6_res67.txt        88.40     
pred_test_data_german_12500_exp6_res34.txt        89.00     

Average accuracy of s1-s100 models:               88.54                                             
